@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
326,'2020/03/23 12:45:17:507',5,0.611567,-0.390364,0.115225,-0.002263,0.444444,0.305306,0.258798,1,0,0,0,0,0
327,'2020/03/23 12:45:17:507',5,0.611567,-0.390364,0.115225,-0.002263,0.444444,0.305306,0.258798,1,0,0,0,0,0
328,'2020/03/23 12:45:17:531',5,0.526114,-0.406027,0.085171,0.016619,0.454564,0.251891,0.162161,1,0,0,0,0,0
329,'2020/03/23 12:45:17:531',5,0.526114,-0.406027,0.085171,0.016619,0.454564,0.251891,0.162161,1,0,0,0,0,0
330,'2020/03/23 12:45:17:543',5,0.56025,-0.397795,0.140136,-0.008104,0.456454,0.264435,0.211465,1,0,0,0,0,0
331,'2020/03/23 12:45:17:577',5,0.604047,-0.375242,0.151673,-0.000204,0.454197,0.324411,0.283341,1,0,0,0,0,0
332,'2020/03/23 12:45:17:578',5,0.604047,-0.375242,0.151673,-0.000204,0.454197,0.324411,0.283341,1,0,0,0,0,0
333,'2020/03/23 12:45:17:578',5,0.604047,-0.375242,0.151673,-0.000204,0.454197,0.324411,0.283341,1,0,0,0,0,0
334,'2020/03/23 12:45:17:578',5,0.604047,-0.375242,0.151673,-0.000204,0.454197,0.324411,0.283341,1,0,0,0,0,0
335,'2020/03/23 12:45:17:600',5,0.575448,-0.398319,0.148059,0.029539,0.466295,0.286718,0.221496,1,0,0,0,0,0
336,'2020/03/23 12:45:17:601',5,0.575448,-0.398319,0.148059,0.029539,0.466295,0.286718,0.221496,1,0,0,0,0,0
337,'2020/03/23 12:45:17:613',5,0.587513,-0.358458,0.19077,0.000746,0.456264,0.330218,0.235485,1,0,0,0,0,0
338,'2020/03/23 12:45:17:635',5,0.600963,-0.347882,0.111818,0.005274,0.41574,0.257612,0.170673,1,0,0,0,0,0
339,'2020/03/23 12:45:17:636',5,0.600963,-0.347882,0.111818,0.005274,0.41574,0.257612,0.170673,1,0,0,0,0,0
340,'2020/03/23 12:45:17:636',5,0.600963,-0.347882,0.111818,0.005274,0.41574,0.257612,0.170673,1,0,0,0,0,0
341,'2020/03/23 12:45:17:647',5,0.56749,-0.393129,0.140412,-0.002747,0.45518,0.272528,0.215485,1,0,0,0,0,0
342,'2020/03/23 12:45:17:658',5,0.55339,-0.407483,0.157376,0.02416,0.454209,0.261497,0.207548,1,0,0,0,0,0
