@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
1044,'2020/03/23 13:24:32:547',2,0.578301,-0.371869,0.181801,0.018739,0.478831,0.31859,0.222453,0.189935,0.271611,0.331805,0.315147,0.214647,0.321782,0,0,0,0,0,0,0,1,0,0,0,0,0
1045,'2020/03/23 13:24:32:558',2,0.538017,-0.407932,0.149562,0.007041,0.484706,0.322495,0.223216,0.152378,0.261852,0.352173,0.337462,0.160155,0.267587,0,0,0,0,0,0,0,1,0,0,0,0,0
1046,'2020/03/23 13:24:32:558',2,0.538017,-0.407932,0.149562,0.007041,0.484706,0.322495,0.223216,0.152378,0.261852,0.352173,0.337462,0.160155,0.267587,0,0,0,0,0,0,0,1,0,0,0,0,0
1047,'2020/03/23 13:24:32:558',2,0.538017,-0.407932,0.149562,0.007041,0.484706,0.322495,0.223216,0.152378,0.261852,0.352173,0.337462,0.160155,0.267587,0,0,0,0,0,0,0,1,0,0,0,0,0
1048,'2020/03/23 13:24:32:570',2,0.535769,-0.397187,0.074105,0.012283,0.434387,0.242284,0.16087,0.10267,0.182364,0.250212,0.257922,0.131605,0.267507,0,0,0,0,0,0,0,1,0,0,0,0,0
1049,'2020/03/23 13:24:32:570',2,0.535769,-0.397187,0.074105,0.012283,0.434387,0.242284,0.16087,0.10267,0.182364,0.250212,0.257922,0.131605,0.267507,0,0,0,0,0,0,0,1,0,0,0,0,0
1050,'2020/03/23 13:24:32:581',2,0.560321,-0.395992,0.127351,-0.010007,0.448417,0.284128,0.205302,0.147969,0.205832,0.269493,0.263441,0.139496,0.273607,0,0,0,0,0,0,0,1,0,0,0,0,0
1051,'2020/03/23 13:24:32:582',2,0.560321,-0.395992,0.127351,-0.010007,0.448417,0.284128,0.205302,0.147969,0.205832,0.269493,0.263441,0.139496,0.273607,0,0,0,0,0,0,0,1,0,0,0,0,0
1052,'2020/03/23 13:24:32:593',2,0.545002,-0.413501,0.132183,-0.012307,0.453013,0.259365,0.207564,0.12364,0.199419,0.290711,0.313596,0.169673,0.318756,0,0,0,0,0,0,0,1,0,0,0,0,0
1053,'2020/03/23 13:24:32:593',2,0.545002,-0.413501,0.132183,-0.012307,0.453013,0.259365,0.207564,0.12364,0.199419,0.290711,0.313596,0.169673,0.318756,0,0,0,0,0,0,0,1,0,0,0,0,0
1054,'2020/03/23 13:24:32:605',2,0.529256,-0.385973,0.177766,0.041017,0.437505,0.253656,0.228321,0.161839,0.207182,0.308206,0.291875,0.137117,0.289649,0,0,0,0,0,0,0,1,0,0,0,0,0
