@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
43,'2020/03/24 18:45:39:472',1,0.630302,-0.375341,0.101256,-0.000102,0.437339,0.291861,0.202977,0.17603,0.283493,0.33904,0.324599,0.169033,0.305817,1,0,0,0,0,0
44,'2020/03/24 18:45:39:484',1,0.569158,-0.403848,0.132933,0.027473,0.449212,0.267058,0.209806,0.151388,0.256146,0.327503,0.302875,0.17848,0.274597,1,0,0,0,0,0
45,'2020/03/24 18:45:39:485',1,0.569158,-0.403848,0.132933,0.027473,0.449212,0.267058,0.209806,0.151388,0.256146,0.327503,0.302875,0.17848,0.274597,1,0,0,0,0,0
46,'2020/03/24 18:45:39:495',1,0.590968,-0.357424,0.193235,0.006483,0.459618,0.325149,0.227693,0.19364,0.280136,0.340667,0.329755,0.197617,0.30799,1,0,0,0,0,0
47,'2020/03/24 18:45:39:507',1,0.53119,-0.410977,0.135583,0.027207,0.50272,0.310373,0.205104,0.132109,0.229832,0.312869,0.303146,0.133118,0.249979,1,0,0,0,0,0
48,'2020/03/24 18:45:39:518',1,0.556638,-0.382021,0.070173,-0.001331,0.400394,0.236228,0.164741,0.105098,0.186498,0.251381,0.263672,0.158585,0.282086,1,0,0,0,0,0
49,'2020/03/24 18:45:39:530',1,0.562765,-0.397517,0.134571,-0.004135,0.453461,0.280102,0.219099,0.157989,0.224018,0.300846,0.291469,0.161813,0.307029,1,0,0,0,0,0
50,'2020/03/24 18:45:39:542',1,0.54962,-0.411081,0.149471,0.013248,0.46122,0.264216,0.206545,0.112488,0.187929,0.285369,0.312871,0.154243,0.283034,1,0,0,0,0,0
51,'2020/03/24 18:45:39:553',1,0.514367,-0.374391,0.182078,0.051724,0.454714,0.257332,0.23056,0.178023,0.217429,0.318993,0.28801,0.134576,0.313332,1,0,0,0,0,0
52,'2020/03/24 18:45:39:565',1,0.594118,-0.376138,0.172201,0.021884,0.474977,0.325198,0.236196,0.148877,0.235301,0.330092,0.328234,0.201625,0.346593,1,0,0,0,0,0
