@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
53,'2020/03/23 13:16:08:023',1,0.600612,-0.370647,0.171855,0.01059,0.466982,0.331473,0.258334,0.162322,0.241615,0.321229,0.329507,0.2016,0.336771,1,0,0,0,0,0
54,'2020/03/23 13:16:08:034',1,0.624671,-0.382821,0.101029,-0.002372,0.438367,0.295736,0.219933,0.180957,0.281446,0.330878,0.321209,0.167095,0.299129,1,0,0,0,0,0
55,'2020/03/23 13:16:08:046',1,0.567875,-0.402031,0.125741,0.02406,0.438069,0.257683,0.199982,0.149205,0.265052,0.337763,0.315027,0.172844,0.272387,1,0,0,0,0,0
56,'2020/03/23 13:16:08:058',1,0.585365,-0.363421,0.18859,0.01161,0.468941,0.32091,0.222405,0.194034,0.276635,0.334897,0.322637,0.208055,0.318481,1,0,0,0,0,0
57,'2020/03/23 13:16:08:069',1,0.53627,-0.408917,0.145207,0.020613,0.499167,0.320055,0.217101,0.143281,0.245991,0.332711,0.318657,0.143042,0.254506,1,0,0,0,0,0
58,'2020/03/23 13:16:08:070',1,0.53627,-0.408917,0.145207,0.020613,0.499167,0.320055,0.217101,0.143281,0.245991,0.332711,0.318657,0.143042,0.254506,1,0,0,0,0,0
59,'2020/03/23 13:16:08:081',1,0.544579,-0.391423,0.066673,0.004854,0.413521,0.235358,0.161379,0.103355,0.185326,0.250049,0.260141,0.146049,0.277439,1,0,0,0,0,0
60,'2020/03/23 13:16:08:093',1,0.565414,-0.393086,0.135473,-0.003486,0.454233,0.285826,0.217543,0.158946,0.223409,0.293709,0.283142,0.155334,0.295233,1,0,0,0,0,0
61,'2020/03/23 13:16:08:104',1,0.545528,-0.414417,0.138701,-0.001846,0.457845,0.262225,0.207625,0.117731,0.194289,0.289229,0.316324,0.163539,0.303133,1,0,0,0,0,0
62,'2020/03/23 13:16:08:116',1,0.519734,-0.378735,0.181976,0.04678,0.443873,0.254169,0.231564,0.172106,0.210883,0.313398,0.289554,0.135734,0.301891,1,0,0,0,0,0
63,'2020/03/23 13:16:08:127',1,0.577914,-0.384001,0.16923,0.034334,0.480745,0.314286,0.220413,0.144416,0.230355,0.334786,0.325041,0.197979,0.354604,1,0,0,0,0,0
64,'2020/03/23 13:16:08:139',1,0.611815,-0.390642,0.114185,-0.002403,0.443968,0.304717,0.257525,0.185559,0.263417,0.304926,0.315329,0.159778,0.281222,1,0,0,0,0,0
65,'2020/03/23 13:16:08:140',1,0.611815,-0.390642,0.114185,-0.002403,0.443968,0.304717,0.257525,0.185559,0.263417,0.304926,0.315329,0.159778,0.281222,1,0,0,0,0,0
66,'2020/03/23 13:16:08:150',1,0.604333,-0.375672,0.122679,0.021232,0.432679,0.261345,0.182811,0.152128,0.274956,0.351477,0.331233,0.164366,0.276318,1,0,0,0,0,0
67,'2020/03/23 13:16:08:163',1,0.573693,-0.382248,0.172646,0.025904,0.482765,0.313117,0.223357,0.180877,0.262909,0.328836,0.308247,0.21539,0.317338,1,0,0,0,0,0
68,'2020/03/23 13:16:08:174',1,0.551494,-0.393829,0.162305,-0.001626,0.469956,0.325665,0.228373,0.160193,0.272485,0.361473,0.346817,0.171896,0.276823,1,0,0,0,0,0
69,'2020/03/23 13:16:08:185',1,0.526127,-0.406038,0.083694,0.015743,0.452587,0.250391,0.161262,0.100966,0.182804,0.255461,0.261214,0.122756,0.258977,1,0,0,0,0,0
70,'2020/03/23 13:16:08:197',1,0.583503,-0.377651,0.132425,-0.003693,0.449266,0.293236,0.201478,0.149716,0.195926,0.255998,0.260492,0.14336,0.264575,1,0,0,0,0,0
71,'2020/03/23 13:16:08:209',1,0.559367,-0.398672,0.139662,-0.008413,0.456329,0.264096,0.211228,0.13218,0.203535,0.289375,0.303105,0.166351,0.320267,1,0,0,0,0,0
72,'2020/03/23 13:16:08:209',1,0.559367,-0.398672,0.139662,-0.008413,0.456329,0.264096,0.211228,0.13218,0.203535,0.289375,0.303105,0.166351,0.320267,1,0,0,0,0,0
73,'2020/03/23 13:16:08:220',1,0.539155,-0.395532,0.169635,0.03548,0.438346,0.254326,0.219312,0.144457,0.202436,0.30011,0.292493,0.135297,0.274696,1,0,0,0,0,0
