@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
6222,'2020/03/23 13:42:20:015',6,0.530626,-0.383951,0.169449,0.054736,0.48774,0.288674,0.214055,0.160868,0.231498,0.33492,0.300893,0.161457,0.346846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6223,'2020/03/23 13:42:20:027',6,0.601232,-0.374865,0.15533,0.000554,0.456068,0.327724,0.285053,0.18257,0.245106,0.300807,0.326618,0.184868,0.306876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6224,'2020/03/23 13:42:20:027',6,0.601232,-0.374865,0.15533,0.000554,0.456068,0.327724,0.285053,0.18257,0.245106,0.300807,0.326618,0.184868,0.306876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6225,'2020/03/23 13:42:20:039',6,0.631037,-0.371453,0.105285,0.005133,0.433924,0.28362,0.189442,0.168782,0.280257,0.345194,0.330278,0.168643,0.304653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6226,'2020/03/23 13:42:20:050',6,0.575046,-0.399489,0.145277,0.029846,0.463445,0.282873,0.219899,0.161553,0.25551,0.326265,0.298639,0.190502,0.284719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6227,'2020/03/23 13:42:20:062',6,0.589001,-0.356839,0.192586,0.001891,0.455914,0.329423,0.23469,0.186955,0.281976,0.349027,0.33582,0.186292,0.294928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6228,'2020/03/23 13:42:20:074',6,0.521672,-0.414869,0.118472,0.025059,0.491899,0.289498,0.183926,0.114097,0.207079,0.287334,0.285136,0.123704,0.247525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6229,'2020/03/23 13:42:20:085',6,0.594362,-0.351414,0.104322,0.00485,0.410985,0.251806,0.168522,0.112127,0.17675,0.243878,0.254833,0.148301,0.259964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6230,'2020/03/23 13:42:20:097',6,0.567013,-0.393935,0.139164,-0.003048,0.454289,0.273015,0.215235,0.148143,0.213481,0.295002,0.291631,0.161649,0.313165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
6231,'2020/03/23 13:42:20:097',6,0.567013,-0.393935,0.139164,-0.003048,0.454289,0.273015,0.215235,0.148143,0.213481,0.295002,0.291631,0.161649,0.313165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,0,0,0,0
